temperature,humidity,voc,ammonia,alcohol,timestamp,stage,cycle_id
35.2,63.5,955,1593,1616,28-09-2025 11:21,Early Spoilage,1
35.2,63.4,976,1629,1602,28-09-2025 11:26,Early Spoilage,1
35.2,63.3,1023,1560,1675,28-09-2025 11:32,Early Spoilage,1
35.2,63.1,979,1593,1648,28-09-2025 11:37,Early Spoilage,1
35.2,63.2,1008,1584,1712,28-09-2025 11:42,Early Spoilage,1
35.2,63,832,1621,1495,28-09-2025 11:47,Early Spoilage,1
35.3,62.6,825,1616,1479,28-09-2025 11:52,Early Spoilage,1
35.3,62.8,843,1664,1531,28-09-2025 11:57,Early Spoilage,1
35.3,62.6,864,1603,1568,28-09-2025 12:02,Early Spoilage,1
35.3,62.6,894,1610,1643,28-09-2025 12:07,Early Spoilage,1
35.4,62.5,973,1579,1674,28-09-2025 12:12,Early Spoilage,1
35.3,62.4,957,1611,1599,28-09-2025 12:17,Early Spoilage,1
35.4,62.4,1006,1648,1680,28-09-2025 12:22,Early Spoilage,1
35.4,62.3,997,1618,1671,28-09-2025 12:27,Early Spoilage,1
35.4,62.6,994,1600,1702,28-09-2025 12:32,Early Spoilage,1
35.4,62.3,993,1520,1733,28-09-2025 12:37,Early Spoilage,1
35.4,62.1,987,1585,1666,28-09-2025 12:42,Early Spoilage,1
35.5,62.1,1001,1639,1646,28-09-2025 12:47,Early Spoilage,1
35.4,62.1,1015,1610,1689,28-09-2025 12:52,Early Spoilage,1
35.5,61.9,1007,1633,1658,28-09-2025 12:57,Early Spoilage,1
35.5,61.8,990,1648,1648,28-09-2025 13:02,Early Spoilage,1
35.5,61.8,1023,1599,1665,28-09-2025 13:07,Early Spoilage,1
35.5,61.6,1010,1613,1626,28-09-2025 13:12,Early Spoilage,1
35.5,61.6,1031,1613,1682,28-09-2025 13:17,Early Spoilage,1
35.5,61.5,1075,1611,1714,28-09-2025 13:22,Early Spoilage,1
35.5,61.5,1101,1605,1726,28-09-2025 13:27,Early Spoilage,1
35.5,61.4,1040,1619,1695,28-09-2025 13:32,Early Spoilage,1
35.6,61.5,1040,1576,1770,28-09-2025 13:37,Early Spoilage,1
35.5,61.3,1010,1635,1688,28-09-2025 13:42,Early Spoilage,1
35.6,61.4,1040,1691,1731,28-09-2025 13:47,Early Spoilage,1
35.6,61.3,1042,1749,1759,28-09-2025 13:52,Early Spoilage,1
35.6,61.3,1054,1722,1785,28-09-2025 13:57,Early Spoilage,1
35.5,61.2,1020,1707,1759,28-09-2025 14:02,Early Spoilage,1
35.5,61.3,1055,1733,1791,28-09-2025 14:07,Early Spoilage,1
35.6,61.4,1043,1727,1791,28-09-2025 14:12,Early Spoilage,1
35.6,61.3,1097,1774,1837,28-09-2025 14:18,Early Spoilage,1
35.6,61.3,1110,1741,1854,28-09-2025 14:23,Early Spoilage,1
35.7,61.2,1105,1767,1850,28-09-2025 14:28,Early Spoilage,1
35.7,61.2,1119,1789,1855,28-09-2025 14:33,Early Spoilage,1
35.7,61.2,1174,1806,1879,28-09-2025 14:38,Early Spoilage,1
35.7,61.1,1168,1771,1882,28-09-2025 14:43,Early Spoilage,1
35.7,61.1,1144,1759,1873,28-09-2025 14:48,Early Spoilage,1
35.7,60.9,941,1830,1714,28-09-2025 14:53,Early Spoilage,1
35.7,60.8,1021,1786,1763,28-09-2025 14:58,Early Spoilage,1
35.7,60.9,1074,1798,1808,28-09-2025 15:03,Early Spoilage,1
35.7,60.8,1070,1792,1786,28-09-2025 15:08,Early Spoilage,1
35.7,60.8,1023,1777,1798,28-09-2025 15:13,Early Spoilage,1
35.7,60.7,1018,1803,1792,28-09-2025 15:18,Early Spoilage,1
35.7,60.7,1021,1776,1796,28-09-2025 15:23,Early Spoilage,1
35.8,60.6,1040,1804,1808,28-09-2025 15:28,Early Spoilage,1
35.8,60.6,1079,1690,1845,28-09-2025 15:33,Early Spoilage,1
35.9,60.4,1011,1699,1771,28-09-2025 15:38,Early Spoilage,1
35.9,60.4,997,1596,1773,28-09-2025 15:43,Early Spoilage,1
35.9,60.2,994,1634,1666,28-09-2025 15:48,Early Spoilage,1
35.9,60.1,998,1663,1648,28-09-2025 15:53,Early Spoilage,1
36,60.2,1008,1600,1700,28-09-2025 15:58,Early Spoilage,1
